# Format: Une ligne = une phrase OU une paire Q|R
# Exemples:
# Bonjour comment vas-tu|Je vais tres bien merci!
# La vie est belle et pleine de surprises.

# === SALUTATIONS ===
je suis triste 10|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 10|Alors prends un moment pour souffler un peu.
je suis stresse 10|Respire calmement, une chose a la fois.
je suis en colere 10|Je comprends, prends quelques secondes pour te poser.
je m ennuie 10|On peut discuter ou trouver une idee a faire.
je suis motive 10|Parfait, c est le bon moment pour avancer.
j ai peur 10|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 10|Tant mieux, gardons ce rythme.
je suis confus 10|Pas de souci, clarifions ensemble.
je suis content 11|C est super a entendre!
je suis triste 11|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 11|Alors prends un moment pour souffler un peu.
je suis stresse 11|Respire calmement, une chose a la fois.
je suis en colere 11|Je comprends, prends quelques secondes pour te poser.
je m ennuie 11|On peut discuter ou trouver une idee a faire.
je suis motive 11|Parfait, c est le bon moment pour avancer.
j ai peur 11|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 11|Tant mieux, gardons ce rythme.
je suis confus 11|Pas de souci, clarifions ensemble.
je suis content 12|C est super a entendre!
je suis triste 12|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 12|Alors prends un moment pour souffler un peu.
je suis stresse 12|Respire calmement, une chose a la fois.
je suis en colere 12|Je comprends, prends quelques secondes pour te poser.
je m ennuie 12|On peut discuter ou trouver une idee a faire.
je suis motive 12|Parfait, c est le bon moment pour avancer.
j ai peur 12|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 12|Tant mieux, gardons ce rythme.
je suis confus 12|Pas de souci, clarifions ensemble.
je suis content 13|C est super a entendre!
je suis triste 13|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 13|Alors prends un moment pour souffler un peu.
je suis stresse 13|Respire calmement, une chose a la fois.
je suis en colere 13|Je comprends, prends quelques secondes pour te poser.
je m ennuie 13|On peut discuter ou trouver une idee a faire.
je suis motive 13|Parfait, c est le bon moment pour avancer.
j ai peur 13|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 13|Tant mieux, gardons ce rythme.
je suis confus 13|Pas de souci, clarifions ensemble.
je suis content 14|C est super a entendre!
je suis triste 14|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 14|Alors prends un moment pour souffler un peu.
je suis stresse 14|Respire calmement, une chose a la fois.
je suis en colere 14|Je comprends, prends quelques secondes pour te poser.
je m ennuie 14|On peut discuter ou trouver une idee a faire.
je suis motive 14|Parfait, c est le bon moment pour avancer.
j ai peur 14|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 14|Tant mieux, gardons ce rythme.
je suis confus 14|Pas de souci, clarifions ensemble.
je suis content 15|C est super a entendre!
je suis triste 15|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 15|Alors prends un moment pour souffler un peu.
je suis stresse 15|Respire calmement, une chose a la fois.
je suis en colere 15|Je comprends, prends quelques secondes pour te poser.
je m ennuie 15|On peut discuter ou trouver une idee a faire.
je suis motive 15|Parfait, c est le bon moment pour avancer.
j ai peur 15|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 15|Tant mieux, gardons ce rythme.
je suis confus 15|Pas de souci, clarifions ensemble.
je suis content 16|C est super a entendre!
je suis triste 16|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 16|Alors prends un moment pour souffler un peu.
je suis stresse 16|Respire calmement, une chose a la fois.
je suis en colere 16|Je comprends, prends quelques secondes pour te poser.
je m ennuie 16|On peut discuter ou trouver une idee a faire.
je suis motive 16|Parfait, c est le bon moment pour avancer.
j ai peur 16|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 16|Tant mieux, gardons ce rythme.
je suis confus 16|Pas de souci, clarifions ensemble.
je suis content 17|C est super a entendre!
je suis triste 17|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 17|Alors prends un moment pour souffler un peu.
je suis stresse 17|Respire calmement, une chose a la fois.
je suis en colere 17|Je comprends, prends quelques secondes pour te poser.
je m ennuie 17|On peut discuter ou trouver une idee a faire.
je suis motive 17|Parfait, c est le bon moment pour avancer.
j ai peur 17|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 17|Tant mieux, gardons ce rythme.
je suis confus 17|Pas de souci, clarifions ensemble.
je suis content 18|C est super a entendre!
je suis triste 18|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 18|Alors prends un moment pour souffler un peu.
je suis stresse 18|Respire calmement, une chose a la fois.
je suis en colere 18|Je comprends, prends quelques secondes pour te poser.
je m ennuie 18|On peut discuter ou trouver une idee a faire.
je suis motive 18|Parfait, c est le bon moment pour avancer.
j ai peur 18|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 18|Tant mieux, gardons ce rythme.
je suis confus 18|Pas de souci, clarifions ensemble.
je suis content 19|C est super a entendre!
je suis triste 19|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 19|Alors prends un moment pour souffler un peu.
je suis stresse 19|Respire calmement, une chose a la fois.
je suis en colere 19|Je comprends, prends quelques secondes pour te poser.
je m ennuie 19|On peut discuter ou trouver une idee a faire.
je suis motive 19|Parfait, c est le bon moment pour avancer.
j ai peur 19|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 19|Tant mieux, gardons ce rythme.
je suis confus 19|Pas de souci, clarifions ensemble.
je suis content 20|C est super a entendre!
je suis triste 20|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 20|Alors prends un moment pour souffler un peu.
je suis stresse 20|Respire calmement, une chose a la fois.
je suis en colere 20|Je comprends, prends quelques secondes pour te poser.
je m ennuie 20|On peut discuter ou trouver une idee a faire.
je suis motive 20|Parfait, c est le bon moment pour avancer.
j ai peur 20|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 20|Tant mieux, gardons ce rythme.
je suis confus 20|Pas de souci, clarifions ensemble.
je suis content 21|C est super a entendre!
je suis triste 21|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 21|Alors prends un moment pour souffler un peu.
je suis stresse 21|Respire calmement, une chose a la fois.
je suis en colere 21|Je comprends, prends quelques secondes pour te poser.
je m ennuie 21|On peut discuter ou trouver une idee a faire.
je suis motive 21|Parfait, c est le bon moment pour avancer.
j ai peur 21|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 21|Tant mieux, gardons ce rythme.
je suis confus 21|Pas de souci, clarifions ensemble.
je suis content 22|C est super a entendre!
je suis triste 22|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 22|Alors prends un moment pour souffler un peu.
je suis stresse 22|Respire calmement, une chose a la fois.
je suis en colere 22|Je comprends, prends quelques secondes pour te poser.
je m ennuie 22|On peut discuter ou trouver une idee a faire.
je suis motive 22|Parfait, c est le bon moment pour avancer.
j ai peur 22|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 22|Tant mieux, gardons ce rythme.
je suis confus 22|Pas de souci, clarifions ensemble.
je suis content 23|C est super a entendre!
je suis triste 23|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 23|Alors prends un moment pour souffler un peu.
je suis stresse 23|Respire calmement, une chose a la fois.
je suis en colere 23|Je comprends, prends quelques secondes pour te poser.
je m ennuie 23|On peut discuter ou trouver une idee a faire.
je suis motive 23|Parfait, c est le bon moment pour avancer.
j ai peur 23|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 23|Tant mieux, gardons ce rythme.
je suis confus 23|Pas de souci, clarifions ensemble.
je suis content 24|C est super a entendre!
je suis triste 24|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 24|Alors prends un moment pour souffler un peu.
je suis stresse 24|Respire calmement, une chose a la fois.
je suis en colere 24|Je comprends, prends quelques secondes pour te poser.
je m ennuie 24|On peut discuter ou trouver une idee a faire.
je suis motive 24|Parfait, c est le bon moment pour avancer.
j ai peur 24|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 24|Tant mieux, gardons ce rythme.
je suis confus 24|Pas de souci, clarifions ensemble.
je suis content 25|C est super a entendre!
je suis triste 25|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 25|Alors prends un moment pour souffler un peu.
je suis stresse 25|Respire calmement, une chose a la fois.
je suis en colere 25|Je comprends, prends quelques secondes pour te poser.
je m ennuie 25|On peut discuter ou trouver une idee a faire.
je suis motive 25|Parfait, c est le bon moment pour avancer.
j ai peur 25|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 25|Tant mieux, gardons ce rythme.
je suis confus 25|Pas de souci, clarifions ensemble.
je suis content 26|C est super a entendre!
je suis triste 26|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 26|Alors prends un moment pour souffler un peu.
je suis stresse 26|Respire calmement, une chose a la fois.
je suis en colere 26|Je comprends, prends quelques secondes pour te poser.
je m ennuie 26|On peut discuter ou trouver une idee a faire.
je suis motive 26|Parfait, c est le bon moment pour avancer.
j ai peur 26|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 26|Tant mieux, gardons ce rythme.
je suis confus 26|Pas de souci, clarifions ensemble.
je suis content 27|C est super a entendre!
je suis triste 27|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 27|Alors prends un moment pour souffler un peu.
je suis stresse 27|Respire calmement, une chose a la fois.
je suis en colere 27|Je comprends, prends quelques secondes pour te poser.
je m ennuie 27|On peut discuter ou trouver une idee a faire.
je suis motive 27|Parfait, c est le bon moment pour avancer.
j ai peur 27|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 27|Tant mieux, gardons ce rythme.
je suis confus 27|Pas de souci, clarifions ensemble.
je suis content 28|C est super a entendre!
je suis triste 28|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 28|Alors prends un moment pour souffler un peu.
je suis stresse 28|Respire calmement, une chose a la fois.
je suis en colere 28|Je comprends, prends quelques secondes pour te poser.
je m ennuie 28|On peut discuter ou trouver une idee a faire.
je suis motive 28|Parfait, c est le bon moment pour avancer.
j ai peur 28|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 28|Tant mieux, gardons ce rythme.
je suis confus 28|Pas de souci, clarifions ensemble.
je suis content 29|C est super a entendre!
je suis triste 29|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 29|Alors prends un moment pour souffler un peu.
je suis stresse 29|Respire calmement, une chose a la fois.
je suis en colere 29|Je comprends, prends quelques secondes pour te poser.
je m ennuie 29|On peut discuter ou trouver une idee a faire.
je suis motive 29|Parfait, c est le bon moment pour avancer.
j ai peur 29|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 29|Tant mieux, gardons ce rythme.
je suis confus 29|Pas de souci, clarifions ensemble.
je suis content 30|C est super a entendre!
je suis triste 30|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 30|Alors prends un moment pour souffler un peu.
je suis stresse 30|Respire calmement, une chose a la fois.
je suis en colere 30|Je comprends, prends quelques secondes pour te poser.
je m ennuie 30|On peut discuter ou trouver une idee a faire.
je suis motive 30|Parfait, c est le bon moment pour avancer.
j ai peur 30|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 30|Tant mieux, gardons ce rythme.
je suis confus 30|Pas de souci, clarifions ensemble.
je suis content 31|C est super a entendre!
je suis triste 31|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 31|Alors prends un moment pour souffler un peu.
je suis stresse 31|Respire calmement, une chose a la fois.
je suis en colere 31|Je comprends, prends quelques secondes pour te poser.
je m ennuie 31|On peut discuter ou trouver une idee a faire.
je suis motive 31|Parfait, c est le bon moment pour avancer.
j ai peur 31|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 31|Tant mieux, gardons ce rythme.
je suis confus 31|Pas de souci, clarifions ensemble.
je suis content 32|C est super a entendre!
je suis triste 32|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 32|Alors prends un moment pour souffler un peu.
je suis stresse 32|Respire calmement, une chose a la fois.
je suis en colere 32|Je comprends, prends quelques secondes pour te poser.
je m ennuie 32|On peut discuter ou trouver une idee a faire.
je suis motive 32|Parfait, c est le bon moment pour avancer.
j ai peur 32|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 32|Tant mieux, gardons ce rythme.
je suis confus 32|Pas de souci, clarifions ensemble.
je suis content 33|C est super a entendre!
je suis triste 33|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 33|Alors prends un moment pour souffler un peu.
je suis stresse 33|Respire calmement, une chose a la fois.
je suis en colere 33|Je comprends, prends quelques secondes pour te poser.
je m ennuie 33|On peut discuter ou trouver une idee a faire.
je suis motive 33|Parfait, c est le bon moment pour avancer.
j ai peur 33|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 33|Tant mieux, gardons ce rythme.
je suis confus 33|Pas de souci, clarifions ensemble.
je suis content 34|C est super a entendre!
je suis triste 34|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 34|Alors prends un moment pour souffler un peu.
je suis stresse 34|Respire calmement, une chose a la fois.
je suis en colere 34|Je comprends, prends quelques secondes pour te poser.
je m ennuie 34|On peut discuter ou trouver une idee a faire.
je suis motive 34|Parfait, c est le bon moment pour avancer.
j ai peur 34|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 34|Tant mieux, gardons ce rythme.
je suis confus 34|Pas de souci, clarifions ensemble.
je suis content 35|C est super a entendre!
je suis triste 35|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 35|Alors prends un moment pour souffler un peu.
je suis stresse 35|Respire calmement, une chose a la fois.
je suis en colere 35|Je comprends, prends quelques secondes pour te poser.
je m ennuie 35|On peut discuter ou trouver une idee a faire.
je suis motive 35|Parfait, c est le bon moment pour avancer.
j ai peur 35|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 35|Tant mieux, gardons ce rythme.
je suis confus 35|Pas de souci, clarifions ensemble.
je suis content 36|C est super a entendre!
je suis triste 36|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 36|Alors prends un moment pour souffler un peu.
je suis stresse 36|Respire calmement, une chose a la fois.
je suis en colere 36|Je comprends, prends quelques secondes pour te poser.
je m ennuie 36|On peut discuter ou trouver une idee a faire.
je suis motive 36|Parfait, c est le bon moment pour avancer.
j ai peur 36|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 36|Tant mieux, gardons ce rythme.
je suis confus 36|Pas de souci, clarifions ensemble.
je suis content 37|C est super a entendre!
je suis triste 37|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 37|Alors prends un moment pour souffler un peu.
je suis stresse 37|Respire calmement, une chose a la fois.
je suis en colere 37|Je comprends, prends quelques secondes pour te poser.
je m ennuie 37|On peut discuter ou trouver une idee a faire.
je suis motive 37|Parfait, c est le bon moment pour avancer.
j ai peur 37|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 37|Tant mieux, gardons ce rythme.
je suis confus 37|Pas de souci, clarifions ensemble.
je suis content 38|C est super a entendre!
je suis triste 38|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 38|Alors prends un moment pour souffler un peu.
je suis stresse 38|Respire calmement, une chose a la fois.
je suis en colere 38|Je comprends, prends quelques secondes pour te poser.
je m ennuie 38|On peut discuter ou trouver une idee a faire.
je suis motive 38|Parfait, c est le bon moment pour avancer.
j ai peur 38|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 38|Tant mieux, gardons ce rythme.
je suis confus 38|Pas de souci, clarifions ensemble.
je suis content 39|C est super a entendre!
je suis triste 39|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 39|Alors prends un moment pour souffler un peu.
je suis stresse 39|Respire calmement, une chose a la fois.
je suis en colere 39|Je comprends, prends quelques secondes pour te poser.
